Character 1,Character 2,Character 3,Character 4,Character 1,Character 2,Character 3,Character 4
Cyno,Nahida,Fischl,Zhongli,Itto,Gorou,Albedo,Shinobu
Cyno,Nahida,Fischl,Jean,Itto,Gorou,Albedo,Xinyan
Cyno,Nahida,Fischl,Sayu,Itto,Gorou,Albedo,Diona
Cyno,TravelerDendro,Fischl,Zhongli,Itto,Gorou,Albedo,Barbara
Cyno,TravelerDendro,Fischl,Jean,Itto,Gorou,Albedo,Qiqi
Cyno,TravelerDendro,Fischl,Sayu,Itto,Gorou,Albedo,Dori
Cyno,Collei,Fischl,Zhongli,Itto,Gorou,Albedo,Kokomi
Cyno,Collei,Beidou,Zhongli,Itto,Gorou,Albedo,Zhongli
Cyno,Collei,Albedo,Zhongli,Itto,Gorou,Bennett,Zhongli
Cyno,Collei,Fischl,Jean,Diluc,Xingqiu,Sucrose,Bennett
Cyno,Collei,Fischl,Sayu,Diluc,Xingqiu,Sucrose,Diona
Cyno,Collei,Beidou,Jean,Diluc,Xingqiu,Sucrose,Barbara
Cyno,Collei,Beidou,Sayu,Diluc,Xingqiu,Sucrose,Qiqi
Cyno,Collei,Yae,Zhongli,Diluc,Xingqiu,Sucrose,Zhongli
Cyno,Collei,Yae,Jean,Diluc,Xingqiu,Sucrose,Kokomi
Cyno,Collei,Yae,Sayu,Diluc,Xingqiu,Sucrose,Dori
Cyno,Collei,Kazuha,Shinobu,Diluc,Xingqiu,Sucrose,Shinobu
Cyno,Collei,Kazuha,Dori,Diluc,Xingqiu,Kazuha,Bennett
Cyno,Collei,Sucrose,Shinobu,Diluc,Xingqiu,Kazuha,Diona
Cyno,Collei,Sucrose,Dori,Diluc,Xingqiu,Kazuha,Barbara
Cyno,Collei,Yun Jin,Shinobu,Diluc,Xingqiu,Kazuha,Qiqi
Cyno,Collei,Albedo,Dori,Diluc,Xingqiu,Kazuha,Zhongli
Cyno,Nahida,Yelan,Shinobu,Diluc,Xingqiu,Kazuha,Kokomi
Cyno,Nahida,Yelan,Dori,Diluc,Xingqiu,Kazuha,Dori
Cyno,TravelerDendro,Yelan,Shinobu,Diluc,Xingqiu,Kazuha,Shinobu
Cyno,TravelerDendro,Yelan,Dori,Diluc,Xingqiu,Albedo,Bennett
Cyno,Collei,Yelan,Shinobu,Diluc,Xingqiu,Albedo,Diona
Cyno,Collei,Yelan,Dori,Diluc,Xingqiu,Albedo,Barbara
Cyno,Collei,Xingqiu,Shinobu,Diluc,Xingqiu,Albedo,Qiqi
Cyno,Collei,Xingqiu,Dori,Diluc,Xingqiu,Albedo,Zhongli
Eula,Fischl,Rosaria,Diona,Diluc,Xingqiu,Albedo,Jean
Eula,Fischl,Rosaria,Qiqi,Diluc,Xingqiu,Albedo,Sayu
Eula,Fischl,Rosaria,Jean,Diluc,Xingqiu,Albedo,Kokomi
Eula,Fischl,Rosaria,Sayu,Diluc,Xingqiu,Albedo,Dori
Eula,Fischl,Rosaria,Shinobu,Diluc,Xingqiu,Albedo,Shinobu
Eula,Fischl,Rosaria,Dori,Diluc,Xingqiu,Zhongli,Bennett
Eula,Fischl,Rosaria,Bennett,Diluc,Xingqiu,Zhongli,Diona
Eula,Fischl,Shenhe,Diona,Diluc,Xingqiu,Zhongli,Barbara
Eula,Fischl,Shenhe,Qiqi,Diluc,Xingqiu,Zhongli,Qiqi
Eula,Fischl,Shenhe,Jean,Diluc,Xingqiu,Zhongli,Jean
Eula,Fischl,Shenhe,Sayu,Diluc,Xingqiu,Zhongli,Sayu
Eula,Fischl,Shenhe,Shinobu,Diluc,Xingqiu,Zhongli,Kokomi
Eula,Fischl,Shenhe,Dori,Diluc,Xingqiu,Zhongli,Dori
Eula,Fischl,Shenhe,Bennett,Diluc,Xingqiu,Zhongli,Shinobu
Eula,Fischl,Yelan,Qiqi,Diluc,Yelan,Sucrose,Bennett
Eula,Fischl,Yelan,Jean,Diluc,Yelan,Sucrose,Diona
Eula,Fischl,Yelan,Sayu,Diluc,Yelan,Sucrose,Barbara
Eula,Fischl,Yelan,Shinobu,Diluc,Yelan,Sucrose,Qiqi
Eula,Fischl,Yelan,Dori,Diluc,Yelan,Sucrose,Zhongli
Eula,Fischl,Yelan,Bennett,Diluc,Yelan,Sucrose,Kokomi
Eula,Yae,Rosaria,Diona,Diluc,Yelan,Sucrose,Dori
Eula,Yae,Shenhe,Diona,Diluc,Yelan,Sucrose,Shinobu
Eula,Yae,Yelan,Diona,Diluc,Yelan,Kazuha,Bennett
Eula,Yae,Yelan,Qiqi,Diluc,Yelan,Kazuha,Diona
Eula,Yae,Yelan,Jean,Diluc,Yelan,Kazuha,Barbara
Eula,Yae,Yelan,Sayu,Diluc,Yelan,Kazuha,Qiqi
Eula,Yae,Yelan,Shinobu,Diluc,Yelan,Kazuha,Zhongli
Eula,Yae,Yelan,Dori,Diluc,Yelan,Kazuha,Kokomi
Eula,Yae,Yelan,Bennett,Diluc,Yelan,Kazuha,Dori
Eula,Raiden,Rosaria,Diona,Diluc,Yelan,Kazuha,Shinobu
Eula,Raiden,Shenhe,Diona,Diluc,Yelan,Albedo,Bennett
Eula,Raiden,Yelan,Diona,Diluc,Yelan,Albedo,Diona
Eula,Raiden,Yelan,Qiqi,Diluc,Yelan,Albedo,Barbara
Eula,Raiden,Yelan,Jean,Diluc,Yelan,Albedo,Qiqi
Eula,Raiden,Yelan,Sayu,Diluc,Yelan,Albedo,Zhongli
Eula,Raiden,Yelan,Shinobu,Diluc,Yelan,Albedo,Jean
Eula,Raiden,Yelan,Dori,Diluc,Yelan,Albedo,Sayu
Eula,Raiden,Yelan,Bennett,Diluc,Yelan,Albedo,Kokomi
Ganyu,Kokomi,Venti,Shenhe,Diluc,Yelan,Albedo,Dori
Ganyu,Kokomi,Venti,Rosaria,Diluc,Yelan,Albedo,Shinobu
Ganyu,Kokomi,Venti,Ayaka,Diluc,Yelan,Zhongli,Bennett
Ganyu,Kokomi,Venti,Aloy,Diluc,Yelan,Zhongli,Diona
Ganyu,Kokomi,Kazuha,Shenhe,Diluc,Yelan,Zhongli,Barbara
Ganyu,Kokomi,Kazuha,Rosaria,Diluc,Yelan,Zhongli,Qiqi
Ganyu,Kokomi,Kazuha,Ayaka,Diluc,Yelan,Zhongli,Jean
Ganyu,Kokomi,Sucrose,Shenhe,Diluc,Yelan,Zhongli,Sayu
Ganyu,Kokomi,Sucrose,Rosaria,Diluc,Yelan,Zhongli,Kokomi
Ganyu,Kokomi,Sucrose,Ayaka,Diluc,Yelan,Zhongli,Dori
Ganyu,Ayato,Venti,Shenhe,Diluc,Yelan,Zhongli,Shinobu
Ganyu,Ayato,Venti,Diona,Hu Tao,Xingqiu,Sucrose,Bennett
Ganyu,Ayato,Venti,Rosaria,Hu Tao,Xingqiu,Sucrose,Diona
Ganyu,Ayato,Venti,Ayaka,Hu Tao,Xingqiu,Sucrose,Barbara
Ganyu,Ayato,Venti,Aloy,Hu Tao,Xingqiu,Sucrose,Qiqi
Ganyu,Ayato,Kazuha,Shenhe,Hu Tao,Xingqiu,Sucrose,Zhongli
Ganyu,Ayato,Kazuha,Diona,Hu Tao,Xingqiu,Sucrose,Kokomi
Ganyu,Ayato,Kazuha,Rosaria,Hu Tao,Xingqiu,Sucrose,Dori
Ganyu,Ayato,Kazuha,Ayaka,Hu Tao,Xingqiu,Sucrose,Shinobu
Ganyu,Ayato,Kazuha,Aloy,Hu Tao,Xingqiu,Sucrose,Beidou
Ganyu,Ayato,Sucrose,Shenhe,Hu Tao,Xingqiu,Sucrose,Thoma
Ganyu,Ayato,Sucrose,Diona,Hu Tao,Xingqiu,Sucrose,Xiangling
Ganyu,Ayato,Sucrose,Rosaria,Hu Tao,Xingqiu,Kazuha,Bennett
Ganyu,Ayato,Sucrose,Ayaka,Hu Tao,Xingqiu,Kazuha,Diona
Ganyu,Ayato,Sucrose,Aloy,Hu Tao,Xingqiu,Kazuha,Barbara
Ganyu,Ayato,Sayu,Shenhe,Hu Tao,Xingqiu,Kazuha,Qiqi
Ganyu,Ayato,Sayu,Rosaria,Hu Tao,Xingqiu,Kazuha,Zhongli
Ganyu,Ayato,Sayu,Ayaka,Hu Tao,Xingqiu,Kazuha,Kokomi
Ganyu,Ayato,Sayu,Aloy,Hu Tao,Xingqiu,Kazuha,Dori
Ganyu,Ayato,Jean,Shenhe,Hu Tao,Xingqiu,Kazuha,Shinobu
Ganyu,Ayato,Jean,Rosaria,Hu Tao,Xingqiu,Kazuha,Beidou
Ganyu,Ayato,Jean,Ayaka,Hu Tao,Xingqiu,Kazuha,Thoma
Ganyu,Ayato,Jean,Aloy,Hu Tao,Xingqiu,Kazuha,Xiangling
Ganyu,Mona,Venti,Shenhe,Hu Tao,Xingqiu,Albedo,Bennett
Ganyu,Mona,Venti,Diona,Hu Tao,Xingqiu,Albedo,Diona
Ganyu,Mona,Venti,Rosaria,Hu Tao,Xingqiu,Albedo,Barbara
Ganyu,Mona,Venti,Ayaka,Hu Tao,Xingqiu,Albedo,Qiqi
Ganyu,Mona,Venti,Aloy,Hu Tao,Xingqiu,Albedo,Zhongli
Ganyu,Mona,Kazuha,Shenhe,Hu Tao,Xingqiu,Albedo,Jean
Ganyu,Mona,Kazuha,Diona,Hu Tao,Xingqiu,Albedo,Sayu
Ganyu,Mona,Kazuha,Rosaria,Hu Tao,Xingqiu,Albedo,Kokomi
Ganyu,Mona,Kazuha,Ayaka,Hu Tao,Xingqiu,Albedo,Dori
Ganyu,Mona,Kazuha,Aloy,Hu Tao,Xingqiu,Albedo,Shinobu
Ganyu,Mona,Sucrose,Shenhe,Hu Tao,Xingqiu,Albedo,Beidou
Ganyu,Mona,Sucrose,Diona,Hu Tao,Xingqiu,Albedo,Thoma
Ganyu,Mona,Sucrose,Rosaria,Hu Tao,Xingqiu,Albedo,Xiangling
Ganyu,Mona,Sucrose,Ayaka,Hu Tao,Xingqiu,Zhongli,Bennett
Ganyu,Mona,Sucrose,Aloy,Hu Tao,Xingqiu,Zhongli,Diona
Ganyu,Mona,Sayu,Shenhe,Hu Tao,Xingqiu,Zhongli,Barbara
Ganyu,Mona,Sayu,Rosaria,Hu Tao,Xingqiu,Zhongli,Qiqi
