Character 1,Character 2,Character 3,Character 4
Cyno,Collei,Kazuha,Shinobu
Cyno,Collei,Kazuha,Dori
Ganyu,Kokomi,Venti,Shenhe
Ganyu,Kokomi,Venti,Rosaria
Ganyu,Kokomi,Venti,Ayaka
Ganyu,Kokomi,Kazuha,Shenhe
Ganyu,Kokomi,Kazuha,Rosaria
Ganyu,Kokomi,Kazuha,Ayaka
Ganyu,Ayato,Venti,Shenhe
Ganyu,Ayato,Venti,Diona
Ganyu,Ayato,Venti,Rosaria
Ganyu,Ayato,Venti,Ayaka
Ganyu,Ayato,Kazuha,Shenhe
Ganyu,Ayato,Kazuha,Diona
Ganyu,Ayato,Kazuha,Rosaria
Ganyu,Ayato,Kazuha,Ayaka
Ganyu,Mona,Venti,Shenhe
Ganyu,Mona,Venti,Diona
Ganyu,Mona,Venti,Rosaria
Ganyu,Mona,Venti,Ayaka
Ganyu,Mona,Kazuha,Shenhe
Ganyu,Mona,Kazuha,Diona
Ganyu,Mona,Kazuha,Rosaria
Ganyu,Mona,Kazuha,Ayaka
Hu Tao,Xingqiu,Kazuha,Diona
Hu Tao,Xingqiu,Venti,Bennett
Hu Tao,Xingqiu,Venti,Diona
Hu Tao,Xingqiu,Venti,Barbara
Hu Tao,Xingqiu,Venti,Qiqi
Hu Tao,Xingqiu,Venti,Zhongli
Hu Tao,Xingqiu,Venti,Kokomi
Hu Tao,Xingqiu,Venti,Dori
Hu Tao,Xingqiu,Venti,Shinobu
Hu Tao,Xingqiu,Venti,Beidou
Hu Tao,Xingqiu,Venti,Thoma
Hu Tao,Xingqiu,Venti,Xiangling
Hu Tao,Yelan,Sucrose,Bennett
Hu Tao,Yelan,Sucrose,Diona
Hu Tao,Yelan,Sucrose,Barbara
Hu Tao,Yelan,Sucrose,Qiqi
Hu Tao,Yelan,Sucrose,Zhongli
Hu Tao,Yelan,Sucrose,Kokomi
Hu Tao,Yelan,Sucrose,Dori
Hu Tao,Yelan,Sucrose,Shinobu
Hu Tao,Yelan,Sucrose,Beidou
Hu Tao,Yelan,Sucrose,Thoma
Hu Tao,Yelan,Sucrose,Xiangling
Hu Tao,Yelan,Kazuha,Bennett
Hu Tao,Yelan,Kazuha,Diona
Hu Tao,Yelan,Kazuha,Barbara
Hu Tao,Yelan,Kazuha,Qiqi
Hu Tao,Yelan,Kazuha,Zhongli
Hu Tao,Yelan,Kazuha,Kokomi
Hu Tao,Yelan,Kazuha,Dori
Hu Tao,Yelan,Kazuha,Shinobu
Hu Tao,Yelan,Kazuha,Beidou
Hu Tao,Yelan,Kazuha,Thoma
Hu Tao,Yelan,Kazuha,Xiangling
Hu Tao,Yelan,Venti,Bennett
Hu Tao,Yelan,Venti,Diona
Hu Tao,Yelan,Venti,Barbara
Hu Tao,Yelan,Venti,Qiqi
Hu Tao,Yelan,Venti,Zhongli
Hu Tao,Yelan,Venti,Kokomi
Hu Tao,Yelan,Venti,Dori
Hu Tao,Yelan,Venti,Shinobu
Hu Tao,Yelan,Venti,Beidou
Hu Tao,Yelan,Venti,Thoma
Hu Tao,Yelan,Venti,Xiangling
Ayaka,Shenhe,Kokomi,Venti
Ayaka,Shenhe,Mona,Venti
Ayaka,Shenhe,Ayato,Venti
Ayaka,Shenhe,Xingqiu,Venti
Ayaka,Shenhe,Yelan,Kazuha
Ayaka,Shenhe,Yelan,Venti
Ayaka,Shenhe,Barbara,Venti
Ayaka,Ganyu,Xingqiu,Kazuha
Ayaka,Ganyu,Xingqiu,Venti
Ayaka,Ganyu,Yelan,Kazuha
Ayaka,Ganyu,Yelan,Venti
Ayaka,Ganyu,Barbara,Kazuha
Ayaka,Ganyu,Barbara,Venti
Ayaka,Diona,Mona,Kazuha
Ayaka,Diona,Mona,Venti
Ayaka,Diona,Ayato,Kazuha
Ayaka,Diona,Ayato,Venti
Ayaka,Diona,Xingqiu,Kazuha
Ayaka,Diona,Xingqiu,Venti
Ayaka,Diona,Yelan,Kazuha
Ayaka,Diona,Yelan,Venti
Ayaka,Diona,Tartaglia,Kazuha
Ayaka,Diona,Tartaglia,Venti
Ayaka,Rosaria,Kokomi,Venti
Ayaka,Rosaria,Mona,Venti
Ayaka,Rosaria,Ayato,Venti
Ayaka,Rosaria,Xingqiu,Venti
Ayaka,Rosaria,Yelan,Kazuha
Ayaka,Rosaria,Yelan,Venti
Ayaka,Shenhe,Kazuha,Diona
Ayaka,Shenhe,Venti,Diona
Nilou,Collei,Venti,Barbara
Nilou,Collei,Venti,Kokomi
Nilou,Collei,Kazuha,Barbara
Nilou,Collei,Kazuha,Kokomi
Nilou,Nahida,Venti,Barbara
Nilou,Nahida,Venti,Kokomi
Nilou,TravelerDendro,Venti,Barbara
Nilou,TravelerDendro,Venti,Kokomi
Nilou,Collei,Nahida,Barbara
Nilou,Collei,Nahida,Kokomi
Raiden,Xingqiu,Yelan,Bennett
Raiden,Xingqiu,Yelan,Kokomi
Raiden,Xingqiu,Yelan,Shinobu
Raiden,Xingqiu,Fischl,Bennett
Raiden,Xingqiu,Fischl,Kokomi
Raiden,Xingqiu,Fischl,Jean
Raiden,Xingqiu,Sara,Bennett
Raiden,Xingqiu,Sara,Kokomi
Raiden,Xingqiu,Sara,Jean
Raiden,Xingqiu,Venti,Bennett
Raiden,Xingqiu,Venti,Kokomi
Raiden,Xingqiu,Venti,Jean
Raiden,Xingqiu,Collei,Bennett
Raiden,Xingqiu,Collei,Kokomi
Raiden,Xingqiu,Collei,Jean
Raiden,Yelan,Yae,Bennett
Raiden,Yelan,Yae,Kokomi
Raiden,Yelan,Yae,Shinobu
Raiden,Yelan,Yae,Jean
Raiden,Yelan,Fischl,Bennett
Raiden,Yelan,Fischl,Kokomi
Raiden,Yelan,Fischl,Shinobu
Raiden,Yelan,Fischl,Jean
Raiden,Yelan,Sara,Bennett
Raiden,Yelan,Sara,Kokomi
Raiden,Yelan,Sara,Shinobu
Raiden,Yelan,Sara,Jean
Raiden,Yelan,Kazuha,Bennett
Raiden,Yelan,Kazuha,Kokomi
Raiden,Yelan,Kazuha,Shinobu
Raiden,Yelan,Kazuha,Jean
Raiden,Yelan,Venti,Bennett
Raiden,Yelan,Venti,Kokomi
Raiden,Yelan,Venti,Shinobu
Raiden,Yelan,Venti,Jean
Raiden,Yelan,Sucrose,Bennett
Raiden,Yelan,Sucrose,Kokomi
Raiden,Yelan,Sucrose,Shinobu
Raiden,Yelan,Sucrose,Jean
Raiden,Yelan,Collei,Bennett
Raiden,Yelan,Collei,Kokomi
Raiden,Yelan,Collei,Shinobu
Raiden,Yelan,Collei,Jean
Raiden,Yelan,Nahida,Bennett
Raiden,Yelan,Nahida,Kokomi
Raiden,Yelan,Nahida,Shinobu
Raiden,Yelan,Nahida,Jean
Raiden,Yelan,TravelerDendro,Bennett
Raiden,Yelan,TravelerDendro,Kokomi
Raiden,Yelan,TravelerDendro,Shinobu
Raiden,Yelan,TravelerDendro,Jean
Raiden,Yae,Fischl,Bennett
Raiden,Yae,Fischl,Kokomi
Raiden,Yae,Fischl,Jean
Raiden,Yae,Sara,Kokomi
Raiden,Yae,Sara,Shinobu
Raiden,Yae,Sara,Bennett
Raiden,Yae,Collei,Bennett
Raiden,Yae,Collei,Kokomi
Raiden,Yae,Collei,Jean
Raiden,Fischl,Kazuha,Bennett
Raiden,Fischl,Kazuha,Kokomi
Raiden,Fischl,Venti,Bennett
Raiden,Fischl,Venti,Kokomi
Raiden,Fischl,Sucrose,Bennett
Raiden,Fischl,Sucrose,Kokomi
Raiden,Sara,Kazuha,Bennett
Raiden,Sara,Kazuha,Kokomi
Raiden,Sara,Venti,Bennett
Raiden,Sara,Venti,Kokomi
Raiden,Sara,Sucrose,Bennett
Raiden,Sara,Sucrose,Kokomi
Raiden,Sara,Collei,Bennett
Raiden,Sara,Collei,Kokomi
