Character 1,Character 2,Character 3,Character 4
Albedo,Ayaka,Bennett,Jean
Albedo,Ayaka,Bennett,Sucrose
Albedo,Ayaka,Bennett,Xiangling
Albedo,Ayaka,Diona,Kaeya
Albedo,Ayaka,Diona,Rosaria
Albedo,Ayaka,Diona,Shenhe
Albedo,Ayaka,Heizou,Zhongli
Albedo,Ayaka,Itto,Zhongli
Albedo,Ayaka,Jean,Xiangling
Albedo,Ayaka,Jean,Zhongli
Albedo,Ayaka,Kaeya,Qiqi
Albedo,Ayaka,Kaeya,Zhongli
Albedo,Ayaka,Qiqi,Rosaria
Albedo,Ayaka,Qiqi,Shenhe
Albedo,Ayaka,Rosaria,Zhongli
Albedo,Ayaka,Shenhe,Zhongli
Albedo,Ayaka,Sucrose,Zhongli
Albedo,Ayaka,Venti,Zhongli
Albedo,Ayaka,Xiangling,Zhongli
Albedo,Ayato,Barbara,Collei
Albedo,Ayato,Barbara,Fischl
Albedo,Ayato,Barbara,Kazuha
Albedo,Ayato,Barbara,Nahida
Albedo,Ayato,Barbara,TravelerDendro
Albedo,Ayato,Barbara,Xingqiu
Albedo,Ayato,Barbara,Yelan
Albedo,Ayato,Barbara,Yun Jin
Albedo,Ayato,Bennett,Collei
Albedo,Ayato,Bennett,Fischl
Albedo,Ayato,Bennett,Kazuha
Albedo,Ayato,Bennett,Nahida
Albedo,Ayato,Bennett,TravelerDendro
Albedo,Ayato,Bennett,Xiangling
Albedo,Ayato,Bennett,Xingqiu
Albedo,Ayato,Bennett,Yelan
Albedo,Ayato,Bennett,Yun Jin
Albedo,Ayato,Collei,Dori
Albedo,Ayato,Collei,Jean
Albedo,Ayato,Collei,Kokomi
Albedo,Ayato,Collei,Sayu
Albedo,Ayato,Collei,Shinobu
Albedo,Ayato,Collei,Zhongli
Albedo,Ayato,Dori,Nahida
Albedo,Ayato,Dori,TravelerDendro
Albedo,Ayato,Fischl,Jean
Albedo,Ayato,Fischl,Sayu
Albedo,Ayato,Fischl,Zhongli
Albedo,Ayato,Jean,Nahida
Albedo,Ayato,Jean,TravelerDendro
Albedo,Ayato,Jean,Xingqiu
Albedo,Ayato,Jean,Yelan
Albedo,Ayato,Kokomi,Nahida
Albedo,Ayato,Kokomi,TravelerDendro
Albedo,Ayato,Nahida,Sayu
Albedo,Ayato,Nahida,Shinobu
Albedo,Ayato,Nahida,Zhongli
Albedo,Ayato,Sayu,TravelerDendro
Albedo,Ayato,Sayu,Xingqiu
Albedo,Ayato,Sayu,Yelan
Albedo,Ayato,Shinobu,TravelerDendro
Albedo,Ayato,TravelerDendro,Zhongli
Albedo,Ayato,Xingqiu,Zhongli
Albedo,Ayato,Yelan,Zhongli
Albedo,Barbara,Collei,Tartaglia
Albedo,Barbara,Fischl,Tartaglia
Albedo,Barbara,Gorou,Itto
Albedo,Barbara,Hu Tao,Xingqiu
Albedo,Barbara,Hu Tao,Yelan
Albedo,Barbara,Kazuha,Tartaglia
Albedo,Barbara,Nahida,Tartaglia
Albedo,Barbara,Tartaglia,TravelerDendro
Albedo,Barbara,Tartaglia,Xingqiu
Albedo,Barbara,Tartaglia,Yelan
Albedo,Barbara,Tartaglia,Yun Jin
Albedo,Beidou,Bennett,Cyno
Albedo,Beidou,Bennett,Noelle
Albedo,Beidou,Cyno,Jean
Albedo,Beidou,Cyno,Sayu
Albedo,Beidou,Cyno,Zhongli
Albedo,Beidou,Fischl,Noelle
Albedo,Beidou,Hu Tao,Xingqiu
Albedo,Beidou,Kaeya,Noelle
Albedo,Beidou,Ningguang,Noelle
Albedo,Beidou,Noelle,Rosaria
Albedo,Beidou,Noelle,TravelerGeo
Albedo,Beidou,Noelle,Xingqiu
Albedo,Beidou,Noelle,Yelan
Albedo,Beidou,Noelle,Yun Jin
Albedo,Beidou,Noelle,Zhongli
Albedo,Bennett,Chongyun,Heizou
Albedo,Bennett,Chongyun,Kazuha
Albedo,Bennett,Chongyun,Sucrose
Albedo,Bennett,Chongyun,Xiangling
Albedo,Bennett,Collei,Raiden
Albedo,Bennett,Collei,Tartaglia
Albedo,Bennett,Cyno,Fischl
Albedo,Bennett,Cyno,Yae
Albedo,Bennett,Faruzan,Heizou
Albedo,Bennett,Faruzan,Wanderer
Albedo,Bennett,Faruzan,Xiao
Albedo,Bennett,Fischl,Ningguang
Albedo,Bennett,Fischl,Noelle
Albedo,Bennett,Fischl,Raiden
Albedo,Bennett,Fischl,Tartaglia
Albedo,Bennett,Fischl,Yelan
Albedo,Bennett,Gorou,Itto
Albedo,Bennett,Gorou,Ningguang
Albedo,Bennett,Gorou,Noelle
Albedo,Bennett,Heizou,Xingqiu
Albedo,Bennett,Heizou,Yelan
Albedo,Bennett,Hu Tao,Jean
Albedo,Bennett,Hu Tao,Sucrose
Albedo,Bennett,Hu Tao,Xiangling
Albedo,Bennett,Hu Tao,Xingqiu
Albedo,Bennett,Hu Tao,Yelan
Albedo,Bennett,Itto,Zhongli
Albedo,Bennett,Kaeya,Noelle
Albedo,Bennett,Kaeya,Xiangling
Albedo,Bennett,Kazuha,Tartaglia
Albedo,Bennett,Kazuha,Xingqiu
Albedo,Bennett,Kazuha,Yelan
Albedo,Bennett,Lisa,Raiden
Albedo,Bennett,Lisa,Yelan
Albedo,Bennett,Mona,Raiden
Albedo,Bennett,Nahida,Raiden
Albedo,Bennett,Nahida,Tartaglia
Albedo,Bennett,Ningguang,Noelle
Albedo,Bennett,Ningguang,Sara
Albedo,Bennett,Ningguang,TravelerGeo
Albedo,Bennett,Ningguang,Venti
Albedo,Bennett,Ningguang,Xiangling
Albedo,Bennett,Ningguang,Yae
Albedo,Bennett,Ningguang,Yun Jin
Albedo,Bennett,Ningguang,Zhongli
Albedo,Bennett,Noelle,Raiden
Albedo,Bennett,Noelle,Rosaria
Albedo,Bennett,Noelle,TravelerGeo
Albedo,Bennett,Noelle,Xingqiu
Albedo,Bennett,Noelle,Yelan
Albedo,Bennett,Noelle,Yun Jin
Albedo,Bennett,Noelle,Zhongli
Albedo,Bennett,Raiden,Sara
Albedo,Bennett,Raiden,TravelerDendro
Albedo,Bennett,Raiden,Xiangling
Albedo,Bennett,Raiden,Xingqiu
Albedo,Bennett,Raiden,Yae
Albedo,Bennett,Raiden,Yelan
Albedo,Bennett,Raiden,Zhongli
Albedo,Bennett,Rosaria,Xiangling
Albedo,Bennett,Shenhe,Xiangling
Albedo,Bennett,Shinobu,Xiangling
Albedo,Bennett,Sucrose,Xingqiu
Albedo,Bennett,Sucrose,Yelan
Albedo,Bennett,Tartaglia,TravelerDendro
Albedo,Bennett,Tartaglia,Xiangling
Albedo,Bennett,Tartaglia,Xingqiu
Albedo,Bennett,Tartaglia,Yelan
Albedo,Bennett,Tartaglia,Yun Jin
Albedo,Bennett,Venti,Xiao
Albedo,Bennett,Xiangling,Xingqiu
Albedo,Bennett,Xiangling,Yelan
Albedo,Bennett,Xiao,Zhongli
Albedo,Bennett,Xingqiu,Yanfei
Albedo,Bennett,Yanfei,Yelan
Albedo,Chongyun,Ganyu,Noelle
Albedo,Chongyun,Shenhe,Zhongli
Albedo,Collei,Cyno,Dori
Albedo,Collei,Cyno,Zhongli
Albedo,Collei,Dori,Tartaglia
Albedo,Collei,Jean,Raiden
Albedo,Collei,Jean,Tartaglia
Albedo,Collei,Kokomi,Raiden
Albedo,Collei,Kokomi,Tartaglia
Albedo,Collei,Qiqi,Raiden
Albedo,Collei,Raiden,Sayu
Albedo,Collei,Raiden,Shinobu
Albedo,Collei,Raiden,Zhongli
Albedo,Collei,Sayu,Tartaglia
Albedo,Collei,Shinobu,Tartaglia
Albedo,Collei,Tartaglia,Zhongli
Albedo,Cyno,Dori,Nahida
Albedo,Cyno,Dori,TravelerDendro
Albedo,Cyno,Fischl,Jean
Albedo,Cyno,Fischl,Sayu
Albedo,Cyno,Fischl,Zhongli
Albedo,Cyno,Jean,Yae
Albedo,Cyno,Nahida,Zhongli
Albedo,Cyno,Sayu,Yae
Albedo,Cyno,TravelerDendro,Zhongli
Albedo,Cyno,Yae,Zhongli
Albedo,Diona,Faruzan,Heizou
Albedo,Diona,Gorou,Itto
Albedo,Diona,Hu Tao,Xingqiu
Albedo,Diona,Hu Tao,Yelan
Albedo,Dori,Faruzan,Heizou
Albedo,Dori,Gorou,Itto
Albedo,Dori,Hu Tao,Xingqiu
Albedo,Dori,Hu Tao,Yelan
Albedo,Dori,Nahida,Tartaglia
Albedo,Dori,Tartaglia,TravelerDendro
Albedo,Faruzan,Heizou,Jean
Albedo,Faruzan,Heizou,Shinobu
Albedo,Faruzan,Heizou,Zhongli
Albedo,Faruzan,Jean,Wanderer
Albedo,Faruzan,Jean,Xiao
Albedo,Faruzan,Xiao,Zhongli
Albedo,Fischl,Gorou,Noelle
Albedo,Fischl,Jean,Raiden
Albedo,Fischl,Jean,Tartaglia
Albedo,Fischl,Kaeya,Noelle
Albedo,Fischl,Kokomi,Raiden
Albedo,Fischl,Ningguang,Noelle
Albedo,Fischl,Ningguang,Zhongli
